id,name
1,Blueberry Orange Chia Seed Pudding
2,Char Kway Teow
3,"Avocado, Tofu and Chickpea Salad"
4,Barley Dessert
5,Acai Berry Prosperity Pudding
6,Lower Sodium Asian Ginger Garlic Chili Fish
7,Longevity Soba Lou Hei
8,Season of Wealth
9,Prosperity Wheel of Fortune
10,Steamed Black Cod with Soba and Vegetables
11,Strawberry Cucumber Boost Smoothie
12,Tamil Style Vegetable Kurma
13,Almond Fortune Cookies
14,Avocado Chocolate Log Cake
15,Baked Fruit Haven
16,Baked Salmon with Organic Mixed Rice
17,Banana Mug Cake
18,Banana Bliss Cake
19,Cauliflower Pizza
20,Chickpea and Tomato Curry
21,Circle of Prosperity
22,Chilled Soya Pudding with Fresh Fruits
23,Easy Chocolate Cake
24,Egg Omelette Wrap
25,Grilled Chicken Toast
26,Gold in Abundance
29,Hearty Peanut Min Jiang Kueh
30,Mini Gingerbread Man
31,Mini Prawn Paste Toasts
32,Oat Bars
33,One Pot Vegetable Rice
34,Sliced Fish Bee Hoon Soup
35,Soya Bean Longan Jelly
36,Coconut Shake
37,Aromatic Chicken Fried Rice with Delight in a Leaf
38,Air fried Salmon with Brown Rice Vermicelli
39,Avocado Breakfast Toast
40,Ayam Masak Merah
41,Baked Chicken Ngoh Hiang
42,"Baked Peppers Stuffed with Unpolished Rice, Raisins & Walnuts"
43,Berry-licious Pancakes
44,Bulgur and Chickpea Salad
45,Burrito Rice Salad Jar
46,Captain Oats and Dates Cookies
47,Chapati with Cucumber Yoghurt Dip
48,Chia Seeds Pudding
49,Chick Prawn Crunchy Toast
50,Chicken and Edamame Pasta with Pesto Sauce
51,Chicken Burger with Rainbow Salad
52,Chicken Chips
53,Chicken Essence with Mushroom
54,Chicken Roll Salad with Cranberry Applesauce Dressing
55,Chicken Wholemeal Wraps with Avocado Mango Salsa
56,Choco Banana Oat Bites
57,Cocoa Rice Pudding
58,Coconut Granita with Berry Foam and Pine Nuts
59,Colour-licious Tuna Pasta Salad
60,Curried Pumpkin Soup
61,Curried Pumpkin Soup
62,Curried Quinoa with Pumpkin & Kidney Beans
63,Curried Yoghurt Egg Bun
64,Curry Burger
65,Easy and Healthy Soba Noodles
66,Easy Otak Otak
67,Fruity Overnight Oats
68,Fusion Pasta Salad Jar
69,Garlic & Thyme Chicken with Cucumber Yoghurt Sauce
70,Gingy Orange Tuna Sandwich
71,Golden Kiwi & Strawberry Granita with Greek Yogurt
72,Grab & Go Sandwich
73,Hawaiian Poke
74,Healthy Barley Brown Rice
75,Healthy Hot Cross Buns
76,Hearty Hash Browns
77,Hearty Convenience Meal
78,Herb-Crusted Baked Fish with Tomato Salsa
79,Herbs Baked Rainbow Fish
80,Long Bean Rice (Basmati) Stew
81,Mackerel & Pumpkin Millet Porridge
82,Marinated Salmon on Vegetable Quinoa
83,Mason Jar Blueberry Parfait
84,Mdm Lee’s Healthy Rice Set
85,Mighty Green Pasta with Pan-fried Taukwa
86,Miracle Noodle Shredded Chicken Salad
87,Mrs Lily Singh’s Chapatti
88,Mrs Lily Singh’s Low Fat Vegetable Biryani
89,Mrs Lily Singh’s Mung Bean Curry
90,Mum’s Healthy Yam Rice
91,Nutty Oatcakes
92,Oat-Crusted Chicken
93,Oatmeal Tuna Bites
94,Oatmeal Crusted Wholemeal Toast with Strawberry Orange Syrup
95,Omelette in a Mug
96,Pancakes with Homemade Blueberry Sauce
97,Overnight Oats
98,Phat Thai with Brown Rice Beehoon
99,Pineapple Brown Rice
100,Prawns with Flavoured Quinoa
101,Quick & Easy Mushroom Soup
102,Quick Quiche
103,Red Hot Snapper with Corn
104,Red Kidney Bean Burrito
105,Rosemary-Lemon Salmon With Cauliflower
106,Rolled Oats Chicken Congee with Mushrooms
107,Salmon and Roasted Vegetables
108,Salsa Sauce
109,Seafood Baked Rice
110,Seafood Tom Yum Soup
111,Shrimp Whole Wheat Pasta with Greens
112,Singapore Yabbies with Fennel and Apple Salad
113,Skinny Mushroom Soup
114,Skinny Tuna Pizza
115,Soba Noodles with Toasted Sesame Seeds
116,Soy Eggnog
117,Spicy Red Snapper
118,Steamed Chicken Breast Wrapped in Lettuce
119,Steamed Salmon with Egg White and MARIGOLD HL Milk with Plant Sterols
120,Stir-fried Brown Rice Vermicelli
121,Stuffed Vegetable Whole Wheat Paratha
122,Sweet Potato Tuna Cakes
123,Sweet Potato Chips with Guacamole
124,Sweet Potato with Snow Fungus Soy Milk
125,Tabouleh
126,Tandoori Chicken
127,Tangy Sweet Chicken
128,Thai Green Chicken Curry
129,Thai Sesame Chicken and Broccoli Brown Rice
130,Thai-styled Roasted Brinjal with Wholemeal Bread
131,Tri-Colour Quinoa Salad
132,Tomato Dashi Soba with Steamed Prawns
133,Tuna Brown Rice
134,Turmeric Spiced Oats with Banana & Almonds
135,Walnut Crusted Chicken with Quinoa Salad
136,Tzatziki Sauce
137,Wholemeal Bread
138,Watermelon & Quinoa Salad
139,Wholemeal Spaghetti Bolognese
140,Fruity Pancakes
141,Apple Ki Phirni
142,Apple Pie Spice
143,Apple-Sesame Tart
144,Asian Gazpacho
145,Asparagus Gratin Topped With Poached Egg
146,Asparagus With Smoked Salmon And Horseradish
147,Baked Vegetable Frittata
148,Balinese Steamed Chicken Rolls
149,Bamboo Pith And Tofu Parcels
150,Banana Pancakes
151,Beancurd Halia
152,Beancurd With Chilli Bean Sauce
153,Beef and Brown Rice Spicy Soup
154,BEETROOT RAITA
155,Berry Cola Crush
156,Berry Yoghurt Surprise
157,Bi Feng Tang
158,Bianco Mangiare with Chocolate Orange Zest
159,Boiled Banana with Grated Coconut
161,Braised Brown Rice Spaghetti With Sliced Beef
163,Braised Mee Sua With Shredded Chicken
164,Braised Soya Bean Cake & Tofu
165,Brown Chicken Rice
166,Brown Rice Chicken Congee
167,Creamy Mushroom Sauce
168,Bruschetta Magherita
169,Brussel Sprout Ingots With Minced Chicken Patties
170,Buckwheat Pancake Drenched In Orange And Berry Sauce
171,Bukit Coco
175,Chicken Herb Roll with Pumpkin Puree
176,Chicken Oat Balls with Macaroni Soup
177,Chicken with Stewed Tomatoes
178,Chicken Yakiudon
179,Chilled Papaya Smoothie
180,Chilli Chicken Pasta
181,Chinese-Style Carrot Cake with Chinese Sausage
182,Chrys Cooler
185,Cottage Cheese in Green Chutney Marinade
186,Crab Meat Foo Yong
187,Crabmeat Fried Rice
188,Cracked Wheat Khichdi
190,Curry Chicken
191,Daylily Flowers In Tanghoon Soup
193,Easy Egg Cups
194,Eggplant Parmigiana With Tomato Coulis
195,Eight Treasure Pilaf
196,Fine Basmati Rice with Peas
197,Fish & Potato Pie
198,Fish Nuggets With Sweet And Sour Dip
199,French Bean And Yoghurt Antipasti
200,French Beans with Walnuts
201,Fried Kway-Teow in Creamy Foo Yong Sauce
202,Fried Olive Rice
203,Fruit Chutney Oatmeal Pancakes
204,Fruity Cola Punch
205,Fruity Seafood Fried Rice
207,Ginger-infused Chawanmushi
208,GOBI PARATHA
209,Gochujang Drumlets
211,Grilled Chicken with Mushroom Salsa
213,Grilled Red Mullet Fish with Colo Colo Dip
214,Grilled Rosemary Lemon Chicken
215,Grilled Teriyaki Chicken
216,Haloe Vera
218,Hokchew Steamed Fish Fillet in Fermented Bean Sauce
219,HOKKAIDO TOFU ISLAND
220,Homemade Pork Meatballs with Carrot Cream Sauce
221,Indian Stir Fried Chicken and Spring Onion
222,Indonesia Croque
223,Indonesian Fried Noodles
224,Italian Style Chicken Porridge
225,Jamaican Jerk Chicken
226,Japanese Curry with Sweet Potatoes
227,Javanese Mashed Yam and Sweet Potatoes
228,Kashmiri Pulao
229,Kidney Bean Minestra
230,Ladies Finger Stir-fried in Onion Masala
232,Low-Fat Waldorf Salad
233,Mais De Pepe Pork Loin
234,Mango Tofu Pudding
236,Mashed Potato and Winter Vegetables
237,Mee Goreng
238,Mee Siam
240,Milo
242,Minestrone Pasta Soup
243,Mini Speedy Pizzas
244,Miso Sliced Fish Soup
245,Mixed Rice Braised Cabbage Rolls
246,Mocha Mousse with Strawberry Coulis
249,Mutton Curry
250,Namkeen Semiya
251,Nasi Kuning
253,Nonya Curry-Infused Patties
254,Nonya Tomato Fish
255,Open-Faced Miso Fish Sandwich
256,Orange Carrot Cake
257,Oyster Sesame Vegetable Rolls
259,Pasta Alla Puttanesca
261,Dried Prune Salad
262,Pearl Barley Risotto
263,Penne Pasta with Basil Pesto
264,Pineapple Tarts
265,Poached Chicken Sandwich with Mango Mayonnaise
266,Pom Pom Parade
267,Prosperity Noodles
268,Puree of Yam with Gingko Nuts
270,Red Rice & Silken Tofu Timbale with Green Pea Puree
271,Red Snapper in Tomato Herb Stock
272,Rice Pudding Served With Yoghurt Sauce
273,Rice Vermicelli with Mackerel
274,Roasted Cashew and Orange Salad with Cider Vinaigrette
275,Roasted Corn Dip
276,Roasted Pork Loin with Honey and Mustard Sauce
277,Roasted Vegetables Toast
279,Salmon Fillet with Honey Spice Sauce
280,Samosa with Mixed Vegetables
281,Sardine Fried Rice
282,Savoury Soup with Glutinous Rice Balls
284,Seared Cod with Orange Dressing
285,Shroom Sliders
286,Silky and Spicy Tanghoon Delight
288,Sliced Fish Bee Hoon Soup
