prompt,ingredient_keywords,calorie_max,protein_min,fat_max,card_max,ground_truth_names,ground_truth_ids,type
Recipes with fish,fish,,,,,Char Kway Teow;Lower Sodium Asian Ginger Garlic Chili Fish;Beef and Brown Rice Spicy Soup;Fish & Potato Pie;Fish Nuggets With Sweet And Sour Dip;Grilled Red Mullet Fish with Colo Colo Dip;Hokchew Steamed Fish Fillet in Fermented Bean Sauce;Miso Sliced Fish Soup;Nonya Tomato Fish;Open-Faced Miso Fish Sandwich;Rice Vermicelli with Mackerel;Sliced Fish Bee Hoon Soup;Sliced Fresh Fish Soup with Vegetable;Traditional Teochew Steamed Fish;Warm Beancurd Salad,2;5;54;89;90;102;106;128;135;136;151;163;164;186;196,ingredients
What desert can I make with apples and honey?,apples,,,,,Apple Ki Phirni;Fruit Chutney Oatmeal Pancakes,42;95,ingredients
What can I do with asparagus?,asparagus,,,,,Air fried Salmon with Brown Rice Vermicelli;Chicken and Edamame Pasta with Pesto Sauce;Asparagus Gratin Topped With Poached Egg;Asparagus With Smoked Salmon And Horseradish;Stir-Fried Vegetable and Fruits in Honeydew Bowl;Stir-fried Vegetables with Braised Firm Beancurd;Wok-Fried Asparagus with Honshimeiji Mushrooms,23;24;46;47;178;180;199,ingredients
What can I make with tofu?,tofu,,,,,"Avocado, Tofu and Chickpea Salad;Easy and Healthy Soba Noodles;Bamboo Pith And Tofu Parcels;Beancurd Halia;Beancurd With Chilli Bean Sauce;Hokchew Steamed Fish Fillet in Fermented Bean Sauce;HOKKAIDO TOFU ISLAND;Mango Tofu Pudding;Miso Sliced Fish Soup;Red Rice & Silken Tofu Timbale with Green Pea Puree;Traditional Teochew Steamed Fish",3;28;50;52;53;106;107;121;128;148;186,ingredients
Dishes I can make with chicken ,chicken,,,,,Egg Omelette Wrap;Aromatic Chicken Fried Rice with Delight in a Leaf;Chicken and Edamame Pasta with Pesto Sauce;Chicken Burger with Rainbow Salad;Chicken Essence with Mushroom;Miracle Noodle Shredded Chicken Salad;Oat-Crusted Chicken;Rolled Oats Chicken Congee with Mushrooms;Thai Sesame Chicken and Broccoli Brown Rice;Balinese Steamed Chicken Rolls;Bamboo Pith And Tofu Parcels;Beef and Brown Rice Spicy Soup;Braised Mee Sua With Shredded Chicken;Brown Chicken Rice;Brown Rice Chicken Congee;Creamy Mushroom Sauce;Brussel Sprout Ingots With Minced Chicken Patties;Chicken Herb Roll with Pumpkin Puree;Chicken Oat Balls with Macaroni Soup;Chicken with Stewed Tomatoes;Chicken Yakiudon;Chilli Chicken Pasta;Chinese-Style Carrot Cake with Chinese Sausage;Curry Chicken;Daylily Flowers In Tanghoon Soup;Eight Treasure Pilaf;Fried Kway-Teow in Creamy Foo Yong Sauce;Gochujang Drumlets;Grilled Chicken with Mushroom Salsa;Grilled Rosemary Lemon Chicken;Grilled Teriyaki Chicken;Indian Stir Fried Chicken and Spring Onion;Indonesia Croque;Italian Style Chicken Porridge;Jamaican Jerk Chicken;Japanese Curry with Sweet Potatoes;Mini Speedy Pizzas;Mixed Rice Braised Cabbage Rolls;Pearl Barley Risotto;Poached Chicken Sandwich with Mango Mayonnaise;Prosperity Noodles;Savoury Soup with Glutinous Rice Balls;Sliced Fish Bee Hoon Soup;Sliced Fresh Fish Soup with Vegetable;Spicy Coriander Chicken;Steamed Dumplings;Sweet Corn Chicken Patties;Tangy Tomato Chilli Prawns;Teriyaki Chicken Sandwich;Vegetarian Chinese Chicken Salad,16;22;24;25;26;31;32;36;40;49;50;54;62;64;65;66;68;71;72;73;74;76;77;83;84;87;93;100;101;103;104;109;110;112;113;114;127;129;141;144;146;159;163;164;169;173;182;183;184;193,ingredients
I want to use eggs and tomatoes in a meal,eggs;tomatoes,,,,,Spinach and Cheese Quiche;Warm Beancurd Salad,170;196,ingredients
Can I make something with banana and yogurt?,banana;yogurt,,,,,Strawberry Cucumber Boost Smoothie,8,ingredients
Meals using avocado and chickpeas,avocado;chickpeas,,,,,"Avocado, Tofu and Chickpea Salad;Healthy Barley Brown Rice",3;29,ingredients
What can I make with prawns and garlic?,prawns;garlic,,,,,Char Kway Teow;Prawns with Flavoured Quinoa;Mee Goreng;Mee Siam;Nonya Curry-Infused Patties;Soy Sauce Garlic Prawns;Tangy Tomato Chilli Prawns,2;35;123;124;134;166;183,ingredients
Recipes using blueberries and milk,blueberries;milk,,,,,Blueberry Orange Chia Seed Pudding;Chilled Soya Pudding with Fresh Fruits,1;15,ingredients
