prompt,retrieved_ids,ground_truth_ids,precision@3,recall@3,hit@3
Recipes with fish,198;213;289,2;6;153;197;198;213;218;244;254;255;273;288;289;313;323;329,1.0,0.188,1
What dessert can I make with apples and honey?,143;232;1,143;232,0.667,1.0,1
What can I do with asparagus?,145;146;327,38;50;145;146;304;306;327,1.0,0.429,1
What can I make with tofu?,234;151;149,3;65;149;151;152;218;219;234;244;270;313,1.0,0.273,1
Dishes I can make with chicken,177;92;295,24;37;50;51;53;86;92;106;129;148;149;153;163;165;166;167;169;175;176;177;178;180;181;190;191;195;201;209;211;214;215;221;222;224;225;226;243;245;262;265;267;282;288;289;295;299;308;310;311;320,1.0,0.06,1
"I want to use eggs,fish and tomatoes in a meal",198;254;194,323,0.0,0.0,0
Can I make something with banana and yogurt?,11;159;150,11,0.333,1.0,1
Meals using avocado and chickpeas,3;74;20,3;74,0.667,1.0,1
What can I make with prawns and garlic?,292;100;310,2;100;223;237;238;253;292;310,1.0,0.375,1
Recipes using blueberries and milk,1;83;22,1;22;83,1.0,1.0,1
Recommend me beef dishes,153;161;237,153;161,0.667,1.0,1
What can I do with leftover rice?,33;196;281,20;33;38;74;86;120;129;133;141;148;153;159;161;165;166;167;169;177;181;187;195;196;202;205;211;213;222;228;236;245;251;267;270;272;273;281;282;288;294;321,1.0,0.075,1
What can I make with cauliflowers?,19;317;305,19;208;280;305;317,1.0,0.6,1
Pasta lunch with tuna,243;133;93,,0.0,0.0,0
What can I cook with mushrooms and onions?,211;113;285,305;53;113;120;166;167;195;211;244;285;313,1.0,0.273,1
Dessert ideas with mango,234;265;246,234;265,0.667,1.0,1
Something with brown rice and beans,37;321;120,120;202;321,0.667,0.667,1
Breakfast ideas with oats and milk,92;94;106,92;93;198;203,0.333,0.25,1
Grilled sandwich with cheese and tomato,222;265;311,168;193;194;277;296,0.0,0.0,0
Vegan dish with chickpeas and spinach,3;74;20,3;74,0.667,1.0,1
Curry dish with potatoes and peas,226;236;196,236;280,0.333,0.5,1
Roasted vegetable dish with zucchini,319;175;277,38;65;175;319,0.667,0.5,1
